AN,MT1,ME,MG,RG,AG1,EF1,MT2,AMT2,BG,SG,EF2,PC,AM,KP,PV,T,Target(uA)
13.6,103.68,2.34,49.17,87.655,26.638,0.2,339.92,104.276,0.69936,229,0,1.377964473,49.46,1.25,0,30,1.39
13.6,103.68,2.34,49.17,87.655,26.638,0.2,339.92,104.276,0.69936,229,0,13.31045944,333.087,14.10658544,26.17902562,30,0.00819
13.6,103.68,2.34,49.17,87.655,26.638,0.2,369.5,106.324,0.73872,229,0.4,1.255928946,278.519,9.248323318,0,30,0.0108
13.6,103.68,2.34,49.17,87.655,26.638,0.2,369.5,106.324,0.73872,229,0.4,1.255928946,372.519,8.864386515,0,30,0.123
16.08,104.276,2.4,46.463,87.655,27.7208,0,457.4308333,584.7913889,2.895430556,225,0.083333333,0.679475818,143.321,2.03025974,0,30,0.0551
16.08,104.276,2.4,46.463,87.655,27.7208,0,457.4308333,584.7913889,2.895430556,225,0.083333333,2.085071254,152.922,16.13717496,7.047671983,30,2.59
21.84,119.348,2.48,44.47,91.2675,28.518,0,459.5575,568.1608333,2.933833333,194,0.166666667,2.032665011,166.929,10.75555556,6.338535363,30,0.0689
22.24,133.824,2.42,47.177,91.2675,27.4352,0.2,302.24,119.348,1.03088,229,0,1.377964473,74.551,2.926363636,0,30,1.09
22.24,133.824,2.42,47.177,91.2675,27.4352,0.2,302.24,119.348,1.03088,229,0,1.377964473,49.46,1.25,0,30,2.97
9.12,75.224,2.22,54.584,87.655,24.4724,0.6,364.13,103.68,0.63616,229,0.2,1.255928946,461.008,8.833552344,0,30,0.00703
9.12,75.224,2.22,54.584,87.655,24.4724,0.6,412.55,75.224,0.50976,229,0.6,1.255928946,367.008,9.103334166,0,30,0.0284
9.12,75.224,2.22,54.584,87.655,24.4724,0.6,412.55,75.224,0.50976,229,0.6,1.255928946,278.519,9.248323318,0,30,0.0165
9.12,75.224,2.22,54.584,87.655,24.4724,0.6,477.6058333,578.0663889,2.972236111,225,0.25,1.377964473,42.394,1.887402597,0,30,0.0471
9.12,75.224,2.22,54.584,87.655,24.4724,0.6,477.6058333,578.0663889,2.972236111,225,0.25,2.085071254,152.922,16.13717496,7.047671983,30,0.0185
5.68,68.4312,2.206,52.912,86.285,25.1412,0.4,453.5566667,570.1611111,2.797097222,194,0.083333333,2.062948829,75.478,14.80155125,6.338535363,30,0.0681
